Year,Homicide,Violence_with_injury,TOTAL_ROBBERY_OFFENCES,Theft_motor_vehicle,Blackmail,TOTAL_CRIMINAL_DAMAGE_AND_ARSON,Trafficking_in_controlled_drugs,Possession_of_controlled_drugs(excluding cannabis)    ,TOTAL_DRUG_OFFENCES,TOTAL_POSSESSION_OF_WEAPONS_OFFENCES,Profiting_from_concealing_knowledge_of_proceeds_crimes,Handling                  stolen                         goods,Threat_to_commit_criminal_damage,ALL_OFFENCES(Exc_fraud)
2003,1.76394E-05,0.006271395,0.0018578,0.005171316,2.24241E-05,0.018776161,0.000377976,N/A,0.002414596,0.000612898,N/A,0.000317021,0.00010341,0.097569028
2004,1.50677E-05,0.007629378,0.001729053,0.00467179,2.49517E-05,0.020166595,0.000410495,N/A,0.002392015,0.000650395,1.15008E-06,0.000288487,0.000143543,0.097399218
2005,1.43747E-05,0.008530757,0.001507194,0.003830882,2.42615E-05,0.019665509,0.000400605,0.00053993,0.00241517,0.000672449,7.25361E-06,0.000234451,0.000166701,0.090699432
2006,1.2565E-05,0.008938601,0.001615,0.003342543,2.70543E-05,0.019305536,0.000415698,0.00053755,0.002935331,0.000653102,2.5459E-05,0.000209099,0.000172703,0.089232909
2007,1.23734E-05,0.00826509,0.00165483,0.002978485,4.04991E-05,0.019215443,0.000433394,0.000597577,0.003170598,0.000635595,3.20107E-05,0.000193044,0.000128778,0.086880808
2008,1.25522E-05,0.007324769,0.001373017,0.002586628,1.94519E-05,0.016682898,0.00045873,0.000688654,0.003723761,0.000600546,3.85798E-05,0.000183586,0.000102329,0.07905685
2009,1.06678E-05,0.006758036,0.001287366,0.002209199,2.18979E-05,0.014946602,0.000480131,0.000716189,0.003912641,0.000572944,4.02452E-05,0.000172966,9.6942E-05,0.074391576
2010,9.8789E-06,0.006393304,0.001196701,0.001747673,2.31039E-05,0.012757242,0.000529366,0.000612476,0.003753726,0.000458222,4.1571E-05,0.000150542,9.55385E-05,0.067957829
2011,1.0097E-05,0.005819216,0.001203877,0.001567605,2.35596E-05,0.010983156,0.000510947,0.00061168,0.003680445,0.000415998,3.7038E-05,0.000145118,9.34799E-05,0.064444769
2012,8.66653E-06,0.00529904,0.001170498,0.001344691,2.14547E-05,0.009810696,0.000490779,0.000571285,0.003590402,0.000371234,2.78802E-05,0.000153098,8.1713E-05,0.061176287
2013,8.61463E-06,0.004818097,0.00100589,0.001145036,2.31113E-05,0.008177912,0.000459231,0.000534107,0.003211236,0.000307379,2.20306E-05,0.000125576,7.64201E-05,0.054855269
2014,8.22867E-06,0.004983797,0.000892772,0.001081507,3.29456E-05,0.007812052,0.000453086,0.000525909,0.003060125,0.000318355,2.2926E-05,0.000131628,8.93884E-05,0.054135392
2015,8.18712E-06,0.005737365,0.000770203,0.001079612,5.40289E-05,0.007724751,0.000414354,0.000490032,0.002605836,0.000335825,2.21543E-05,0.000100423,0.000138215,0.054897247
