Date,Close(CCI30 index)
2022/11/27,6414.73
2022/11/26,6397.99
2022/11/25,6372.01
2022/11/24,6406.29
2022/11/23,6378.93
2022/11/22,6099.05
2022/11/21,5897.49
2022/11/20,6044
2022/11/19,6348.67
2022/11/18,6346.2
2022/11/17,6293.91
2022/11/16,6331.06
2022/11/15,6450.05
2022/11/14,6346.46
2022/11/13,6231.14
2022/11/12,6427.02
2022/11/11,6660.54
2022/11/10,6892.55
2022/11/09,5955.13
2022/11/08,7162.62
2022/11/07,8161.02
2022/11/06,8154.37
2022/11/05,8509.67
2022/11/04,8474.88
2022/11/03,7894.35
2022/11/02,7782.64
2022/11/01,8007.54
2022/10/31,8017.34
2022/10/30,7969.16
2022/10/29,8049.14
2022/10/28,7769.41
2022/10/27,7532.58
2022/10/26,7685.57
2022/10/25,7427.51
2022/10/24,7045.32
2022/10/23,7160.93
2022/10/22,6988.8
2022/10/21,6953.59
2022/10/20,6879.51
2022/10/19,6949.14
2022/10/18,7100.02
2022/10/17,7201.64
2022/10/16,7071.32
2022/10/15,6976.96
2022/10/14,7043.15
2022/10/13,7052.68
2022/10/12,7087.29
2022/10/11,7071.59
2022/10/10,7177.36
2022/10/09,7424.12
2022/10/08,7361.98
2022/10/07,7431.52
2022/10/06,7489.72
2022/10/05,7571.45
2022/10/04,7597.5
2022/10/03,7382.34
2022/10/02,7193.71
2022/10/01,7338.08
2022/09/30,7393.74
2022/09/29,7431.4
2022/09/28,7345.71
2022/09/27,7304.55
2022/09/26,7383.25
2022/09/25,7308.52
2022/09/24,7386.42
2022/09/23,7509.82
2022/09/22,7436.58
2022/09/21,6991.46
2022/09/20,7175.77
2022/09/19,7338.76
2022/09/18,7163.09
2022/09/17,7709.94
2022/09/16,7491.91
2022/09/15,7454.07
2022/09/14,7787.14
2022/09/13,7684.69
2022/09/12,8335.63
2022/09/11,8290.03
2022/09/10,8319.18
2022/09/09,8202.68
2022/09/08,7710.65
2022/09/07,7628.71
2022/09/06,7334.89
2022/09/05,7773.28
2022/09/04,7741.42
2022/09/03,7628.27
2022/09/02,7636.56
2022/09/01,7686.53
2022/08/31,7585.93
2022/08/30,7527.2
2022/08/29,7660.9
2022/08/28,7268.51
2022/08/27,7491.84
2022/08/26,7510.32
2022/08/25,8181.09
2022/08/24,8073.9
2022/08/23,8127.07
2022/08/22,7999.27
2022/08/21,8049
2022/08/20,7837.83
2022/08/19,7834.43
2022/08/18,8684.78
2022/08/17,8876.37
2022/08/16,9169.02
2022/08/15,9211.69
2022/08/14,9384.99
2022/08/13,9404.15
2022/08/12,9381.08
2022/08/11,9171.15
2022/08/10,9193.04
2022/08/09,8786.6
2022/08/08,9061.22
2022/08/07,8810.44
2022/08/06,8701.74
2022/08/05,8826.5
2022/08/04,8449.79
2022/08/03,8373.1
2022/08/02,8343.73
2022/08/01,8484.76
2022/07/31,8511.82
2022/07/30,8630.67
2022/07/29,8678.29
2022/07/28,8649.69
2022/07/27,8234.57
2022/07/26,7457.84
2022/07/25,7474.71
2022/07/24,8098.71
2022/07/23,7997.49
2022/07/22,7992.75
2022/07/21,8203.12
2022/07/20,7999.6
2022/07/19,8269.02
2022/07/18,8107.03
2022/07/17,7284.7
2022/07/16,7398.55
2022/07/15,7085.51
2022/07/14,7011.97
2022/07/13,6755.92
2022/07/12,6409.48
2022/07/11,6603.41
2022/07/10,6994.03
