Police force Area,pc_achieving_atleast_two_substantial_lev3_Aloocated_forcearea,Total_number_of_possible_Organised_crimes,pc%_achieving_atleast_two_substantial_lev3_Aloocated_forcearea,Population in Force area,Possible_organised_crimes_as_a_percentage_of_population 
Avon and somerset,95.58625,147849,95.586250%,1600000,9.240563%
Bedforshire,92.063,57576,92.063000%,669338,8.601932%
Cambridshire,95.7045,74435,95.704500%,653412,11.391741%
Cheshire,95.02025,87847,95.020250%,931347,9.432252%
Cumbria,96.587,40085,96.587000%,498083,8.047855%
Derbyshire,97.877,89702,97.877000%,796142,11.267086%
Devon & Cornwall,95.254,109364,95.254000%,1700000,6.433176%
Dorset,97.068,58086,97.068000%,426516,13.618715%
Durham,92.762,63599,92.762000%,522100,12.181383%
Essex,95.937,177443,95.937000%,1842000,9.633170%
Gloucestershire,97.008,55888,97.008000%,647870,8.626422%
Greater Manchester,98.013,391279,98.013000%,2822000,13.865308%
Hampshire,95.5185,182516,95.518500%,1376000,13.264244%
Hertfordshire,96.363,86496,96.363000%,1195000,7.238159%
Humberside,93.60175,99520,93.601750%,887500,11.213521%
Kent,96.282,196564,96.282000%,1855000,10.596442%
Lancashire,96.623,158379,96.623000%,1495000,10.593913%
Leicestershire,98.4965,107812,98.496500%,727150,14.826652%
Lincolnshire,96.433,61617,96.433000%,756920,8.140490%
Metropolitan police,95.21674194,1062305,95.216742%,8982000,11.827043%
Norfolk,95.029,70301,95.029000%,907760,7.744448%
Northamptonshire,98.761,69094,98.761000%,747622,9.241836%
Northumbria,98.635,145288,98.635000%,1500000,9.685867%
North Yorkshire,97.649,51470,97.649000%,824054,6.245950%
Nottinghamshire,95.0235,109440,95.023500%,823126,13.295656%
Staffordshire,94.2355,88228,94.235500%,890441,9.908349%
Suffolk,94.225,54753,94.225000%,761038,7.194516%
Surrey,96.668,76739,96.668000%,585320,13.110606%
Sussex,94.679,129393,94.679000%,882700,14.658774%
Thames Valley Police,95.907,186216,95.907000%,950600,19.589312%
Warwickshire,96.071,45481,96.071000%,595670,7.635268%
West Mercia,95.9625,99995,95.962500%,1190000,8.402941%
Wiltshire,94.7025,44374,94.702500%,510400,8.693966%
