region_name,Number of academic students,pc_achieving_atleast_two_substantial_lev3,Number_of_Students_achiving_atleast_2_Level_3_qualaspercentage,Number_of_Students_achiving_atleast_2_Level 3_qual,,region_name,Average_rate_of_atleast_level3_qual_percentagerate
East Midlands,1590,80.846,0.80846,1285.4514,,East Midlands,0.870728266
East Midlands,1875,85.07,0.8507,1595.0625,,East of england,0.862662832
East Midlands,1865,85.548,0.85548,1595.4702,,London,0.86637447
East Midlands,1805,83.569,0.83569,1508.42045,,North East,0.832014123
East Midlands,1403,82.587,0.82587,1158.69561,,North-west,0.837221613
East Midlands,186,84.817,0.84817,157.75962,,South East,0.851457277
East Midlands,46,86.957,0.86957,40.00022,,South West,0.840961933
East Midlands,332,86.158,0.86158,286.04456,,West Midlands,0.86564133
East Midlands,449,83.051,0.83051,372.89899,,Yorkshire and The Humber,0.837765867
East Midlands,9551,83.774,0.83774,8001.25474,,,
East Midlands,1322,82.789,0.82789,1094.47058,,,
East Midlands,1495,86.785,0.86785,1297.43575,,,
East Midlands,1704,87.231,0.87231,1486.41624,,,
East Midlands,1667,88.87,0.8887,1481.4629,,,
East Midlands,1594,85.855,0.85855,1368.5287,,,
East Midlands,416,85.714,0.85714,356.57024,,,
East Midlands,169,72.832,0.72832,123.08608,,,
East Midlands,49,95.918,0.95918,46.99982,,,
East Midlands,322,87.158,0.87158,280.64876,,,
East Midlands,8738,86.249,0.86249,7536.43762,,,
East Midlands,1168,93.929,0.93929,1097.09072,,,
East Midlands,1243,93.612,0.93612,1163.59716,,,
East Midlands,1532,94.846,0.94846,1453.04072,,,
East Midlands,1690,94.935,0.94935,1604.4015,,,
East Midlands,1620,92.874,0.92874,1504.5588,,,
East Midlands,63,100,1,63,,,
East Midlands,321,92.428,0.92428,296.69388,,,
East Midlands,396,96.956,0.96956,383.94576,,,
East Midlands,181,93.956,0.93956,170.06036,,,
East Midlands,8214,94.189,0.94189,7736.68446,,,
East Midlands,796,95.593,0.95593,760.92028,,,
East Midlands,723,98.551,0.98551,712.52373,,,
East Midlands,986,96.142,0.96142,947.96012,,,
East Midlands,1194,97.349,0.97349,1162.34706,,,
East Midlands,1328,95.784,0.95784,1272.01152,,,
East Midlands,1544,96.315,0.96315,1487.1036,,,
East Midlands,1546,97.431,0.97431,1506.28326,,,
East Midlands,79,100,1,79,,,
East Midlands,383,96.954,0.96954,371.33382,,,
East Midlands,217,91.459,0.91459,198.46603,,,
East Midlands,8796,96.574,0.96574,8494.64904,,,
East Midlands,1651,99.015,0.99015,1634.73765,,,
East Midlands,1244,98.935,0.98935,1230.7514,,,
East Midlands,1326,99.028,0.99028,1313.11128,,,
East Midlands,1598,98.649,0.98649,1576.41102,,,
East Midlands,391,99.257,0.99257,388.09487,,,
East Midlands,441,94.93,0.9493,418.6413,,,
East Midlands,48,100,1,48,,,
East Midlands,808,98.559,0.98559,796.35672,,,
East Midlands,781,99.045,0.99045,773.54145,,,
East Midlands,1014,97.441,0.97441,988.05174,,,
East Midlands,9302,98.516,0.98516,9163.95832,,,
East Midlands,1733,78.333,0.78333,1357.51089,,,
East Midlands,2054,81.37,0.8137,1671.3398,,,
East Midlands,1908,82.151,0.82151,1567.44108,,,
East Midlands,1894,80.642,0.80642,1527.35948,,,
East Midlands,1456,80.262,0.80262,1168.61472,,,
East Midlands,1088,77.454,0.77454,842.69952,,,
East Midlands,46,86.957,0.86957,40.00022,,,
East Midlands,1030,74.191,0.74191,764.1673,,,
East Midlands,634,74.419,0.74419,471.81646,,,
East Midlands,11843,79.437,0.79437,9407.72391,,,
East Midlands,1332,85.03,0.8503,1132.5996,,,
East Midlands,1679,82.304,0.82304,1381.88416,,,
East Midlands,1855,81.1,0.811,1504.405,,,
East Midlands,1708,86.32,0.8632,1474.3456,,,
East Midlands,1700,83.768,0.83768,1424.056,,,
East Midlands,619,80.915,0.80915,500.86385,,,
East Midlands,991,80.986,0.80986,802.57126,,,
East Midlands,49,95.918,0.95918,46.99982,,,
East Midlands,1023,78.507,0.78507,803.12661,,,
East Midlands,10956,82.725,0.82725,9063.351,,,
East Midlands,1213,91.825,0.91825,1113.83725,,,
East Midlands,1400,89.296,0.89296,1250.144,,,
East Midlands,1717,86.618,0.86618,1487.23106,,,
East Midlands,1694,90.01,0.9001,1524.7694,,,
East Midlands,1691,88.934,0.88934,1503.87394,,,
East Midlands,63,100,1,63,,,
East Midlands,939,87.248,0.87248,819.25872,,,
East Midlands,579,87.484,0.87484,506.53236,,,
East Midlands,1014,89.383,0.89383,906.34362,,,
East Midlands,10310,88.955,0.88955,9171.2605,,,
East Midlands,937,92.826,0.92826,869.77962,,,
East Midlands,722,98.681,0.98681,712.47682,,,
East Midlands,992,93.031,0.93031,922.86752,,,
East Midlands,1249,96.165,0.96165,1201.10085,,,
East Midlands,1501,95.775,0.95775,1437.58275,,,
East Midlands,1653,92.323,0.92323,1526.09919,,,
East Midlands,1617,96.678,0.96678,1563.28326,,,
East Midlands,79,100,1,79,,,
East Midlands,565,91.632,0.91632,517.7208,,,
East Midlands,1031,95.437,0.95437,983.95547,,,
East Midlands,10346,94.739,0.94739,9801.69694,,,
East Midlands,1742,96.786,0.96786,1686.01212,,,
East Midlands,1286,98.144,0.98144,1262.13184,,,
East Midlands,1531,97.899,0.97899,1498.83369,,,
East Midlands,1660,97.627,0.97627,1620.6082,,,
East Midlands,586,94.762,0.94762,555.30532,,,
East Midlands,1061,94.899,0.94899,1006.87839,,,
East Midlands,48,100,1,48,,,
East Midlands,988,94.049,0.94049,929.20412,,,
East Midlands,781,99.045,0.99045,773.54145,,,
East Midlands,1014,92.498,0.92498,937.92972,,,
East Midlands,10697,96.368,0.96368,10308.48496,,,
East Midlands,1467,74.274,0.74274,1089.59958,,,
East Midlands,1533,82.562,0.82562,1265.67546,,,
East Midlands,1560,78.718,0.78718,1228.0008,,,
East Midlands,1584,78.589,0.78589,1244.84976,,,
East Midlands,1155,77.645,0.77645,896.79975,,,
East Midlands,132,86.029,0.86029,113.55828,,,
East Midlands,42,83.333,0.83333,34.99986,,,
East Midlands,289,64.194,0.64194,185.52066,,,
East Midlands,335,76.667,0.76667,256.83445,,,
East Midlands,8097,78.038,0.78038,6318.73686,,,
East Midlands,1038,81.111,0.81111,841.93218,,,
East Midlands,1250,80.406,0.80406,1005.075,,,
East Midlands,1406,85.269,0.85269,1198.88214,,,
East Midlands,1538,84.601,0.84601,1301.16338,,,
East Midlands,1408,82.665,0.82665,1163.9232,,,
East Midlands,421,77.528,0.77528,326.39288,,,
East Midlands,139,74.126,0.74126,103.03514,,,
East Midlands,55,94.545,0.94545,51.99975,,,
East Midlands,285,82.769,0.82769,235.89165,,,
East Midlands,7540,82.631,0.82631,6230.3774,,,
East Midlands,922,93.467,0.93467,861.76574,,,
East Midlands,1078,94.47,0.9447,1018.3866,,,
East Midlands,1192,95.833,0.95833,1142.32936,,,
