Date,"Binance Coin","Binance USD",Bitcoin,Cardano,Dogecoin,Ethereum,Polygon,Tether,"USD Coin",XRP
"2021-11-29 00:00",625.56475997,1.00285683,57904.45716252,1.60018766,0.21504367,4416.98107346,1.74073183,1.00113643,0.99931093,0.99020775
"2021-11-30 00:00",623.14515256,1.0061658,57017.73538592,1.55850374,0.21621577,4632.92696272,1.79896799,1.0022037,1.0007572,1.00023354
"2021-12-01 00:00",631.46594901,1.00793436,57570.07558949,1.56203798,0.21230723,4617.61617925,2.03083099,1.00433624,0.9999929,1.0000019
"2021-12-02 00:00",622.82729827,1.01506942,56695.31131102,1.71699928,0.21073021,4541.60680597,2.09923265,1.00224319,1.00174228,0.97884575
"2021-12-03 00:00",603.31162767,1.03301671,54473.76485652,1.59158174,0.20382334,4292.01407021,2.300424,1.00401785,1.00092889,0.93947117
"2021-12-04 00:00",568.82474085,1.03729128,49023.00568029,1.42127524,0.18008765,4099.20728642,1.98210164,1.00440776,1.00075145,0.83297666
"2021-12-05 00:00",561.93307379,1.02730414,49601.32168126,1.37743044,0.17152571,4204.8625604,2.02864675,1.00568709,1.00115629,0.80810514
"2021-12-06 00:00",590.31936872,1.01471506,50177.7580831,1.41735244,0.17483133,4316.28436976,2.16580847,1.00170749,1.00015701,0.82247599
"2021-12-07 00:00",577.88236016,1.01099714,50718.40219406,1.3882905,0.17810151,4308.7867864,2.38000563,1.00118556,1.00003598,0.81722753
"2021-12-08 00:00",605.41282445,1.00791655,50503.66825911,1.39545368,0.17921315,4426.35196084,2.42479508,1.00012233,0.99806134,0.86281991
"2021-12-09 00:00",581.69799264,1.0153534,48398.04770945,1.31440923,0.17323405,4192.2183437,2.14957571,1.00195709,1.00066694,0.88540952
"2021-12-10 00:00",561.08080159,1.02462472,47898.05086028,1.2343325,0.16611442,3976.5637548,2.12319855,1.00085691,0.99842598,0.8206165
"2021-12-11 00:00",562.92188565,1.01257026,48888.62227804,1.32798353,0.16768713,4044.34744275,2.1079844,1.00131028,0.99927275,0.83224503
"2021-12-12 00:00",570.29127423,1.00595189,49957.43780629,1.347716,0.16872178,4109.67153465,2.07891996,0.99890675,0.99852287,0.84154027
"2021-12-13 00:00",528.31897302,1.01048758,47196.44714984,1.23880179,0.15880753,3810.92509576,1.84060613,1.00122876,1.00005018,0.79172522
"2021-12-14 00:00",530.65823146,1.01227452,48388.2246622,1.2697169,0.19073845,3870.62806191,1.93624071,1.00220656,1.00145448,0.81452993
"2021-12-15 00:00",540.28153019,1.00337227,48792.22044289,1.305319,0.17929714,4008.39613509,2.10811111,0.99962297,0.99908615,0.82538315
"2021-12-16 00:00",532.08898238,1.00779478,48224.17293136,1.28448015,0.17879659,4012.19464677,2.12489699,1.0020215,1.00033356,0.82327282
"2021-12-17 00:00",534.87951076,1.00386811,46681.64052638,1.22965008,0.16993066,3884.82863018,2.1164028,1.00144786,1.00300046,0.80334338
"2021-12-18 00:00",537.92002509,0.99780937,47162.74666453,1.25008251,0.17308046,3977.97070855,2.23501117,1.00227063,1.00466002,0.83088317
"2021-12-19 00:00",534.28715534,1.008142,47316.25879349,1.25763261,0.17137492,3965.69230937,2.23307244,1.00333056,1.00515302,0.84138073
"2021-12-20 00:00",520.19985212,0.95424768,46267.9833703,1.22265276,0.16328339,3851.56154402,2.11373598,0.99129231,1.00031773,0.85555287
"2021-12-21 00:00",528.11567673,1.0001036,48834.02040303,1.27516017,0.17001323,4013.99435409,2.33916383,1.00014983,0.99987294,0.93358724
"2021-12-22 00:00",533.17662152,1.01064803,48653.88577459,1.32993526,0.17403584,3982.28279594,2.51512299,1.00061243,0.99857844,0.95270756
"2021-12-23 00:00",543.72202846,1.00374178,50416.50718547,1.45454141,0.1811655,4086.69605885,2.64025142,1.00029665,0.99920737,0.99728881
"2021-12-24 00:00",543.66709133,1.00462095,51155.81821161,1.41103196,0.18810495,4069.95878507,2.48693518,1.00238897,1.00026474,0.92057828
"2021-12-25 00:00",547.91574657,1.00277251,50681.04417306,1.44819079,0.19089993,4099.13806414,2.63532611,1.00153432,1.00131615,0.92745005
"2021-12-26 00:00",546.83153258,1.00009797,50809.79383973,1.45678546,0.1903446,4078.95200504,2.85055741,1.00027975,0.9998869,0.92127688
"2021-12-27 00:00",564.60848836,1.00466623,50052.69277724,1.52906552,0.18913161,4048.10388693,2.73447973,1.00140786,0.99917796,0.92777733
"2021-12-28 00:00",539.61473051,1.00589002,48107.16484154,1.42826336,0.17629941,3832.92220634,2.56007211,1.00252527,1.00137896,0.8648985
"2021-12-29 00:00",516.00730617,1.00736577,46985.18476828,1.34889294,0.16980034,3680.5523729,2.48791312,1.00030644,0.99829288,0.82622968
"2021-12-30 00:00",516.84533225,1.0042506,47161.3582566,1.35000461,0.17137985,3709.39541518,2.53290204,1.00089713,1.00041431,0.83904632
"2021-12-31 00:00",509.77480704,1.0004973,46461.52004891,1.30623414,0.17043882,3679.57211975,2.54294863,0.99943471,0.99744882,0.82521127
"2022-01-01 00:00",522.15039619,1.00091093,47513.05343302,1.35372958,0.17145887,3740.42220307,2.50709279,0.9996265,0.99813313,0.84255199
"2022-01-02 00:00",529.12521442,1.00052845,47148.89392289,1.36823406,0.17369527,3798.36898996,2.52373545,0.99980044,0.99868741,0.85285486
"2022-01-03 00:00",515.11860702,1.00745882,46526.79000617,1.33509012,0.17040232,3766.47442113,2.46321554,1.00229649,1.00247343,0.83688633
"2022-01-04 00:00",489.74128564,1.0016023,44347.16577859,1.26543793,0.1624415,3630.97684298,2.35902678,0.99963592,0.99990435,0.78368633
"2022-01-05 00:00",470.05616228,1.00946971,44878.48168498,1.23600251,0.15846774,3625.29640889,2.20020979,1.00095545,1.00134141,0.77571258
"2022-01-06 00:00",465.73111881,1.00531945,42431.13932277,1.23443526,0.15621026,3345.14419876,2.19875212,1.00260902,1.0011588,0.75082759
"2022-01-07 00:00",446.79231489,0.99892839,41326.9253611,1.20417572,0.15335204,3163.86116629,2.00358554,0.99953873,0.99748883,0.75681127
"2022-01-08 00:00",427.9742167,1.00078495,41577.24737105,1.1884155,0.15077622,3085.9173978,2.00737645,0.99965988,0.99848316,0.74569663
"2022-01-09 00:00",437.90028465,0.99969883,41937.5503549,1.16862451,0.14974644,3154.57917881,2.08597201,0.99872973,0.99821774,0.75266293
"2022-01-10 00:00",424.94861413,1.00292615,41698.04802575,1.13089439,0.14310158,3071.54824422,2.0699898,1.00066132,0.99992634,0.73739849
"2022-01-11 00:00",454.81669045,0.99859319,42262.2013933,1.17139564,0.15180874,3192.04162935,2.30164233,0.9995343,0.99895424,0.7568892
"2022-01-12 00:00",484.65664155,0.99556383,43799.82798035,1.29665219,0.16024444,3357.72640817,2.35263313,0.99854244,0.997138,0.79601255
"2022-01-13 00:00",478.33377139,1.00400376,41520.46569218,1.22167364,0.16671819,3160.92470936,2.23413504,1.00166122,1.0006472,0.74460141
"2022-01-14 00:00",485.02506419,1.0051312,42840.14667005,1.27313474,0.18489918,3274.42440283,2.28559737,1.00250327,1.00159527,0.76499103
"2022-01-15 00:00",487.25558495,1.00474997,42006.25121436,1.24730786,0.16949557,3217.93264879,2.30682584,1.00227805,1.00262976,0.75405263
"2022-01-16 00:00",496.54849019,1.00335195,43018.39274952,1.40661029,0.17742959,3340.16107366,2.30836049,1.00218498,1.00196543,0.77676449
