Date,GRA Purchases,PRGT 1/2/,GDP Adjusted Totals,Year
09/30/2022,91088136681,15386591496,,2022
12/31/2021,89474552025,14554823681,98324530632,2021
12/31/2020,93408630285,12481816684,1.09471E+11,2020
12/31/2019,66945509865,6590835450,71662456553,2019
12/31/2018,55395611392,6426181029,59860379490,2018
12/31/2017,39585385873,6522280669,44600400527,2017
12/31/2016,49267630851,6482647937,54232371062,2016
12/31/2015,50757840741,6575911158,55620064695,2015
12/31/2014,69041563463,6292755583,73100428525,2014
12/31/2013,83899249061,6174392682,87603368628,2013
12/31/2012,90042348252,5766292503,93283310494,2012
12/31/2011,87276915790,5308609594,89609569864,2011
12/31/2010,55620104510,4819344134,57818933165,2010
12/31/2009,37221142436,5079705286,42869221542,2009
12/31/2008,17514964723,3972372030,21052312761,2008
12/31/2007,6036146757,3796945581,9411692544,2007
12/31/2006,9822640239,3844020520,13081120004,2006
12/31/2005,28432143237,6282121668,33365259982,2005
12/31/2004,55373766674,6766029353,59467583203,2004
12/31/2003,65032062712,6880893268,69716302284,2003
12/31/2002,63601058794,6868671012,68865908279,2002
12/31/2001,53477225409,6424578684,58729076488,2001
12/31/2000,42990531049,6331595468,47203945221,2000
12/31/1999,51061861875,6434274362,55539353591,1999
12/31/1998,60451017051,6288825925,64925632021,1998
12/31/1997,46559033783,6009867422,50593402919,1997
12/31/1996,36127472805,5881609752,40541191011,1996
12/31/1995,35929173412,5657438528,40339772893,1995
12/31/1994,25611676952,4599768498,29244464299,1994
12/31/1993,25196745031,3942792899,28621998549,1993
12/31/1992,23967172718,3804463796,27208397841,1992
12/31/1991,23378573926,3285717796,26280521594,1991
12/31/1990,20731851093,2571911617,22654011281,1990
12/31/1989,22315104224,2334886562,23758201835,1989
12/31/1988,24750004884,1773964293,25347788329,1988
12/31/1987,28751979125,1866342930,29516895826,1987
12/31/1986,33334905644,2013169931,34171323836,1986
12/31/1985,35194787249,2470247948,36321319598,1985
12/31/1984,34936772393,2769874900,36022345418,1984
