Date,GRA Purchases,PRGT 1/2/,Totals,Year,World GDP data ,Totals ($bns),world GDP Bns,Growth in Lending Relative to World GDP
12/31/2021,89474552025,14554823681,1.04029E+11,2021,9.61001E+13,104.0293757,96100.091,0.001082511
12/31/2020,93408630285,12481816684,1.0589E+11,2020,8.49068E+13,105.890447,84906.81419,0.001247137
12/31/2019,66945509865,6590835450,73536345315,2019,8.76529E+13,73.53634532,87652.86322,0.00083895
12/31/2018,55395611392,6426181029,61821792421,2018,8.6413E+13,61.82179242,86413.03278,0.000715422
12/31/2017,39585385873,6522280669,46107666542,2017,8.1404E+13,46.10766654,81403.97743,0.000566406
12/31/2016,49267630851,6482647937,55750278788,2016,7.64656E+13,55.75027879,76465.59001,0.00072909
12/31/2015,50757840741,6575911158,57333751899,2015,7.51793E+13,57.3337519,75179.26627,0.000762627
12/31/2014,69041563463,6292755583,75334319046,2014,7.97088E+13,75.33431905,79708.81224,0.000945119
12/31/2013,83899249061,6174392682,90073641743,2013,7.76072E+13,90.07364174,77607.19847,0.001160635
12/31/2012,90042348252,5766292503,95808640755,2012,7.54881E+13,95.80864076,75488.06418,0.001269189
12/31/2011,87276915790,5308609594,92585525384,2011,7.38538E+13,92.58552538,73853.78405,0.001253633
12/31/2010,55620104510,4819344134,60439448644,2010,6.65961E+13,60.43944864,66596.05101,0.000907553
12/31/2009,37221142436,5079705286,42300847722,2009,6.08091E+13,42.30084772,60809.11183,0.000695633
12/31/2008,17514964723,3972372030,21487336753,2008,6.41237E+13,21.48733675,64123.70427,0.000335092
12/31/2007,6036146757,3796945581,9833092338,2007,5.8355E+13,9.833092338,58355.01509,0.000168505
12/31/2006,9822640239,3844020520,13666660759,2006,5.17798E+13,13.66666076,51779.84559,0.000263938
12/31/2005,28432143237,6282121668,34714264905,2005,4.77797E+13,34.71426491,47779.71479,0.000726548
12/31/2004,55373766674,6766029353,62139796027,2004,4.41176E+13,62.13979603,44117.60113,0.001408504
12/31/2003,65032062712,6880893268,71912955980,2003,3.9147E+13,71.91295598,39146.98839,0.001836998
12/31/2002,63601058794,6868671012,70469729806,2002,3.49114E+13,70.46972981,34911.42705,0.002018529
12/31/2001,53477225409,6424578684,59901804093,2001,3.36154E+13,59.90180409,33615.43597,0.001781973
12/31/2000,42990531049,6331595468,49322126517,2000,3.38309E+13,49.32212652,33830.8788,0.001457903
12/31/1999,51061861875,6434274362,57496136237,1999,3.27374E+13,57.49613624,32737.37497,0.001756284
12/31/1998,60451017051,6288825925,66739842976,1998,3.154E+13,66.73984298,31539.9579,0.002116041
12/31/1997,46559033783,6009867422,52568901205,1997,3.16204E+13,52.56890121,31620.44366,0.001662497
12/31/1996,36127472805,5881609752,42009082557,1996,3.17367E+13,42.00908256,31736.66005,0.001323677
12/31/1995,35929173412,5657438528,41586611940,1995,3.10436E+13,41.58661194,31043.64788,0.001339617
12/31/1994,25611676952,4599768498,30211445450,1994,2.78723E+13,30.21144545,27872.25513,0.001083925
12/31/1993,25196745031,3942792899,29139537930,1993,2.5822E+13,29.13953793,25821.97892,0.001128478
12/31/1992,23967172718,3804463796,27771636514,1992,2.54061E+13,27.77163651,25406.10611,0.001093109
12/31/1991,23378573926,3285717796,26664291722,1991,2.37596E+13,26.66429172,23759.57245,0.001122255
12/31/1990,20731851093,2571911617,23303762710,1990,2.278E+13,23.30376271,22779.97868,0.001022993
12/31/1989,22315104224,2334886562,24649990786,1989,2.0194E+13,24.64999079,20194.0038,0.001220659
12/31/1988,24750004884,1773964293,26523969177,1988,1.9338E+13,26.52396918,19337.99747,0.001371599
12/31/1987,28751979125,1866342930,30618322055,1987,1.73072E+13,30.61832206,17307.238,0.001769105
12/31/1986,33334905644,2013169931,35348075575,1986,1.52053E+13,35.34807558,15205.31553,0.002324718
12/31/1985,35194787249,2470247948,37665035197,1985,1.28601E+13,37.6650352,12860.09446,0.00292883
12/31/1984,34936772393,2769874900,37706647293,1984,1.22698E+13,37.70664729,12269.79237,0.003073128
